,return,volatility,sharpe
0,0.2722385132336934,0.2683665597815412,0.9399029202409698
1,0.2724732967816494,0.2683665385693198,0.9407778560158864
2,0.27270808032960525,0.26836845384340247,0.9416459971747078
3,0.2729428638775612,0.2683723055623294,0.9425073252158476
4,0.2731776474255172,0.2683780936427259,0.9433618220813355
5,0.2734124309734731,0.26838581795931166,0.9442094701587079
6,0.27364721452142904,0.26839547834491434,0.9450502522828184
7,0.273881998069385,0.26840707459048757,0.9458841517375662
8,0.2741167816173409,0.2684206064451336,0.9467111522575429
9,0.27435156516529685,0.26843607361613053,0.9475312380295994
10,0.27458634871325277,0.26845347576896367,0.9483443936943278
11,0.27482113226120874,0.26847281252736205,0.9491506043474627
12,0.27505591580916466,0.2684940834733387,0.9499498555411987
13,0.27529069935712064,0.26851728814723613,0.9507421332854257
14,0.27552548290507656,0.2685424260477757,0.9515274240488789
15,0.2757602664530325,0.26856949663211177,0.952305714760208
16,0.2759950500009884,0.26859849931589025,0.9530769928089607
17,0.27622983354894437,0.26862943347331153,0.9538412460464832
18,0.2764646170969003,0.26866229843719763,0.9545984627867364
19,0.2766994006448562,0.2686970934990645,0.9553486318070273
20,0.2769341841928121,0.2687338179091975,0.9560917423486599
21,0.27716896774076805,0.2687724708767325,0.9568277841174954
22,0.277403751288724,0.26881305156974045,0.957556747284436
23,0.27763853483667994,0.26885555911531644,0.9582786224858183
24,0.27787331838463586,0.2688999925996735,0.9589934008237267
25,0.27810810193259183,0.2689463510682402,0.959701073866221
26,0.27834288548054775,0.2689946335257626,0.9604016336474805
27,0.27857766902850367,0.26904483893641057,0.9610950726678654
28,0.27881245257645965,0.2690969662238884,0.9617813838938932
29,0.27904723612441557,0.26915101427154886,0.9624605607581344
30,0.2792820196723715,0.2692069819225126,0.9631325971590221
31,0.27951680322032735,0.2692648679797907,0.963797487460581
32,0.2797515867682834,0.2693246712064119,0.964455226492074
33,0.27998637031623935,0.2693863903255529,0.965105809547566
34,0.2802211538641952,0.26945002402067436,0.965749232385405
35,0.2804559374121511,0.26951557093565937,0.9663854912276253
36,0.28069072096010717,0.26958302967495656,0.9670145827592668
37,0.280925504508063,0.26965239880372677,0.9676365041276125
38,0.281160288056019,0.2697236768479944,0.9682512529413522
39,0.2813950716039748,0.26979686229480143,0.9688588272696582
40,0.28162985515193073,0.2698719535923665,0.9694592256411898
41,0.2818646386998867,0.2699489491502465,0.9700524470430137
42,0.2820994222478427,0.2700278473395029,0.9706384909194498
43,0.2823342057957986,0.2701086464928715,0.9712173571708372
44,0.28256898934375446,0.2701913449049352,0.9717890461522274
45,0.28280377289171044,0.2702759408323018,0.9723535586719958
46,0.2830385564396664,0.2703624324937838,0.9729108959903822
47,0.2832733399876223,0.2704508180705823,0.973461059817956
48,0.28350812353557825,0.2705410957064752,0.9740040523140061
49,0.2837429070835342,0.2706332635080078,0.9745398760848564
50,0.2839776906314902,0.2707273195446869,0.9750685341821124
51,0.28421247417944606,0.2708232618491785,0.9755900301008338
52,0.28444725772740204,0.2709210884175096,0.9761043677776352
53,0.2846820412753579,0.27102079720927125,0.9766115515887187
54,0.28491682482331393,0.2711223861478271,0.9771115863478361
55,0.28515160837126985,0.27122585312052305,0.9776044773041822
56,0.2853863919192257,0.2713311959789017,0.9780902301402221
57,0.28562117546718174,0.2714384125389191,0.9785688509694505
58,0.2858559590151376,0.2715475005811639,0.9790403463340841
59,0.2860907425630935,0.2716584578510811,0.9795047232026924
60,0.28632552611104944,0.271771282059197,0.9799619889677623
61,0.2865603096590054,0.2718859708813479,0.9804121514431995
62,0.2867950932069614,0.27200252195891184,0.9808552188617682
63,0.28702987675491726,0.27212093289904216,0.9812911998724709
64,0.2872646603028732,0.27224120127490503,0.9817201035378673
65,0.2874994438508292,0.2723633246259181,0.9821419393313351
66,0.2877342273987851,0.2724873004579933,0.9825567171342691
67,0.28796901094674104,0.27261312624378115,0.9829644472332298
68,0.288203794494697,0.272740799422918,0.983365140317031
